"","period","선호_성별_검색추이","성별","카테고리명","검색기기","년도","월"
"1","2017-01-01",58.46869,"f","가구_인테리어","모바일","2017","1"
"2","2017-01-01",52.36797,"m","가구_인테리어","인터넷","2017","1"
"3","2017-01-01",52.96893,"f","디지털_가전","모바일","2017","1"
"4","2017-01-01",47.85197,"m","디지털_가전","인터넷","2017","1"
"5","2017-01-01",54.48265,"m","생활_건강","모바일","2017","1"
"6","2017-01-01",65.34934,"m","생활_건강","인터넷","2017","1"
"7","2017-01-01",38.1932,"m","스포츠_레져","모바일","2017","1"
"8","2017-01-01",41.14209,"m","스포츠_레져","인터넷","2017","1"
"9","2017-01-01",31.65749,"f","식품","모바일","2017","1"
"10","2017-01-01",34.75503,"m","식품","인터넷","2017","1"
"11","2017-01-01",53.44154,"f","출산_육아","모바일","2017","1"
"12","2017-01-01",62.01521,"f","출산_육아","인터넷","2017","1"
"13","2017-01-01",72.40807,"f","패션잡화","모바일","2017","1"
"14","2017-01-01",74.09306,"m","패션잡화","인터넷","2017","1"
"15","2017-01-01",63.05094,"f","화장품_미용","모바일","2017","1"
"16","2017-01-01",87.01374,"f","화장품_미용","인터넷","2017","1"
"17","2017-02-01",50.16908,"f","가구_인테리어","모바일","2017","2"
"18","2017-02-01",39.51219,"m","가구_인테리어","인터넷","2017","2"
"19","2017-02-01",47.72281,"f","디지털_가전","모바일","2017","2"
"20","2017-02-01",40.32925,"m","디지털_가전","인터넷","2017","2"
"21","2017-02-01",49.02885,"m","생활_건강","모바일","2017","2"
"22","2017-02-01",55.55708,"m","생활_건강","인터넷","2017","2"
"23","2017-02-01",31.44294,"m","스포츠_레져","모바일","2017","2"
"24","2017-02-01",30.40689,"m","스포츠_레져","인터넷","2017","2"
"25","2017-02-01",35.14947,"f","식품","모바일","2017","2"
"26","2017-02-01",39.61826,"m","식품","인터넷","2017","2"
"27","2017-02-01",46.82037,"f","출산_육아","모바일","2017","2"
"28","2017-02-01",50.4919,"f","출산_육아","인터넷","2017","2"
"29","2017-02-01",67.22985,"f","패션잡화","모바일","2017","2"
"30","2017-02-01",63.8909,"m","패션잡화","인터넷","2017","2"
"31","2017-02-01",59.93839,"f","화장품_미용","모바일","2017","2"
"32","2017-02-01",75.38106,"f","화장품_미용","인터넷","2017","2"
"33","2017-03-01",63.69874,"f","가구_인테리어","모바일","2017","3"
"34","2017-03-01",56.73294,"m","가구_인테리어","인터넷","2017","3"
"35","2017-03-01",49.89777,"f","디지털_가전","모바일","2017","3"
"36","2017-03-01",47.99228,"m","디지털_가전","인터넷","2017","3"
"37","2017-03-01",54.63,"m","생활_건강","모바일","2017","3"
"38","2017-03-01",60.39079,"m","생활_건강","인터넷","2017","3"
"39","2017-03-01",42.64269,"m","스포츠_레져","모바일","2017","3"
"40","2017-03-01",45.19386,"m","스포츠_레져","인터넷","2017","3"
"41","2017-03-01",28.25391,"f","식품","모바일","2017","3"
"42","2017-03-01",32.04384,"m","식품","인터넷","2017","3"
"43","2017-03-01",47.38105,"f","출산_육아","모바일","2017","3"
"44","2017-03-01",48.8347,"f","출산_육아","인터넷","2017","3"
"45","2017-03-01",79.96312,"f","패션잡화","모바일","2017","3"
"46","2017-03-01",75.89144,"m","패션잡화","인터넷","2017","3"
"47","2017-03-01",58.83525,"f","화장품_미용","모바일","2017","3"
"48","2017-03-01",77.24243,"f","화장품_미용","인터넷","2017","3"
"49","2017-04-01",55.49322,"f","가구_인테리어","모바일","2017","4"
"50","2017-04-01",56.96774,"m","가구_인테리어","인터넷","2017","4"
"51","2017-04-01",52.68851,"f","디지털_가전","모바일","2017","4"
"52","2017-04-01",51.21382,"m","디지털_가전","인터넷","2017","4"
"53","2017-04-01",61.56703,"m","생활_건강","모바일","2017","4"
"54","2017-04-01",69.40531,"m","생활_건강","인터넷","2017","4"
"55","2017-04-01",43.13305,"m","스포츠_레져","모바일","2017","4"
"56","2017-04-01",47.24566,"m","스포츠_레져","인터넷","2017","4"
"57","2017-04-01",32.5775,"f","식품","모바일","2017","4"
"58","2017-04-01",30.31059,"m","식품","인터넷","2017","4"
"59","2017-04-01",41.61616,"f","출산_육아","모바일","2017","4"
"60","2017-04-01",43.44721,"f","출산_육아","인터넷","2017","4"
"61","2017-04-01",69.08307,"f","패션잡화","모바일","2017","4"
"62","2017-04-01",69.39836,"m","패션잡화","인터넷","2017","4"
"63","2017-04-01",61.93054,"f","화장품_미용","모바일","2017","4"
"64","2017-04-01",79.15586,"f","화장품_미용","인터넷","2017","4"
"65","2017-05-01",51.17599,"f","가구_인테리어","모바일","2017","5"
"66","2017-05-01",55.35336,"m","가구_인테리어","인터넷","2017","5"
"67","2017-05-01",52.35636,"f","디지털_가전","모바일","2017","5"
"68","2017-05-01",54.69474,"m","디지털_가전","인터넷","2017","5"
"69","2017-05-01",54.09914,"m","생활_건강","모바일","2017","5"
"70","2017-05-01",56.26258,"m","생활_건강","인터넷","2017","5"
"71","2017-05-01",46.56379,"m","스포츠_레져","모바일","2017","5"
"72","2017-05-01",49.89833,"m","스포츠_레져","인터넷","2017","5"
"73","2017-05-01",30.67697,"f","식품","모바일","2017","5"
"74","2017-05-01",35.81466,"m","식품","인터넷","2017","5"
"75","2017-05-01",38.45695,"f","출산_육아","모바일","2017","5"
"76","2017-05-01",40.90131,"f","출산_육아","인터넷","2017","5"
"77","2017-05-01",64.32628,"f","패션잡화","모바일","2017","5"
"78","2017-05-01",65.61029,"m","패션잡화","인터넷","2017","5"
"79","2017-05-01",57.8249,"f","화장품_미용","모바일","2017","5"
"80","2017-05-01",73.65539,"f","화장품_미용","인터넷","2017","5"
"81","2017-06-01",45.5117,"f","가구_인테리어","모바일","2017","6"
"82","2017-06-01",45.71163,"m","가구_인테리어","인터넷","2017","6"
"83","2017-06-01",46.14489,"f","디지털_가전","모바일","2017","6"
"84","2017-06-01",42.44373,"m","디지털_가전","인터넷","2017","6"
"85","2017-06-01",41.53976,"m","생활_건강","모바일","2017","6"
"86","2017-06-01",50.33985,"m","생활_건강","인터넷","2017","6"
"87","2017-06-01",44.47551,"m","스포츠_레져","모바일","2017","6"
"88","2017-06-01",48.63197,"m","스포츠_레져","인터넷","2017","6"
"89","2017-06-01",24.7368,"f","식품","모바일","2017","6"
"90","2017-06-01",28.59917,"m","식품","인터넷","2017","6"
"91","2017-06-01",36.44823,"f","출산_육아","모바일","2017","6"
"92","2017-06-01",39.9502,"f","출산_육아","인터넷","2017","6"
"93","2017-06-01",65.75329,"f","패션잡화","모바일","2017","6"
"94","2017-06-01",66.48124,"m","패션잡화","인터넷","2017","6"
"95","2017-06-01",48.96941,"f","화장품_미용","모바일","2017","6"
"96","2017-06-01",61.67032,"f","화장품_미용","인터넷","2017","6"
"97","2017-07-01",40.08591,"f","가구_인테리어","모바일","2017","7"
"98","2017-07-01",51.09345,"m","가구_인테리어","인터넷","2017","7"
"99","2017-07-01",56.07576,"f","디지털_가전","모바일","2017","7"
"100","2017-07-01",59.84406,"m","디지털_가전","인터넷","2017","7"
"101","2017-07-01",43.8523,"m","생활_건강","모바일","2017","7"
"102","2017-07-01",37.65064,"m","생활_건강","인터넷","2017","7"
"103","2017-07-01",43.27714,"m","스포츠_레져","모바일","2017","7"
"104","2017-07-01",52.96924,"m","스포츠_레져","인터넷","2017","7"
"105","2017-07-01",24.22203,"f","식품","모바일","2017","7"
"106","2017-07-01",33.21501,"m","식품","인터넷","2017","7"
"107","2017-07-01",33.95641,"f","출산_육아","모바일","2017","7"
"108","2017-07-01",40.24918,"f","출산_육아","인터넷","2017","7"
"109","2017-07-01",54.30222,"f","패션잡화","모바일","2017","7"
"110","2017-07-01",72.49801,"m","패션잡화","인터넷","2017","7"
"111","2017-07-01",43.72541,"f","화장품_미용","모바일","2017","7"
"112","2017-07-01",56.73506,"f","화장품_미용","인터넷","2017","7"
"113","2017-08-01",38.71998,"f","가구_인테리어","모바일","2017","8"
"114","2017-08-01",60.12982,"m","가구_인테리어","인터넷","2017","8"
"115","2017-08-01",41.22332,"f","디지털_가전","모바일","2017","8"
"116","2017-08-01",63.73629,"m","디지털_가전","인터넷","2017","8"
"117","2017-08-01",45.85286,"m","생활_건강","모바일","2017","8"
"118","2017-08-01",47.52121,"m","생활_건강","인터넷","2017","8"
"119","2017-08-01",35.75228,"m","스포츠_레져","모바일","2017","8"
"120","2017-08-01",52.96777,"m","스포츠_레져","인터넷","2017","8"
"121","2017-08-01",27.03371,"f","식품","모바일","2017","8"
"122","2017-08-01",40.26499,"m","식품","인터넷","2017","8"
"123","2017-08-01",23.52339,"f","출산_육아","모바일","2017","8"
"124","2017-08-01",37.58233,"f","출산_육아","인터넷","2017","8"
"125","2017-08-01",47.27146,"f","패션잡화","모바일","2017","8"
"126","2017-08-01",77.43309,"m","패션잡화","인터넷","2017","8"
"127","2017-08-01",47.33293,"f","화장품_미용","모바일","2017","8"
"128","2017-08-01",74.73782,"f","화장품_미용","인터넷","2017","8"
"129","2017-09-01",37.21146,"f","가구_인테리어","모바일","2017","9"
"130","2017-09-01",48.70296,"m","가구_인테리어","인터넷","2017","9"
"131","2017-09-01",29.82305,"f","디지털_가전","모바일","2017","9"
"132","2017-09-01",71.04618,"m","디지털_가전","인터넷","2017","9"
"133","2017-09-01",37.02103,"m","생활_건강","모바일","2017","9"
"134","2017-09-01",25.20869,"m","생활_건강","인터넷","2017","9"
"135","2017-09-01",33.81467,"m","스포츠_레져","모바일","2017","9"
"136","2017-09-01",43.0821,"m","스포츠_레져","인터넷","2017","9"
"137","2017-09-01",27.98048,"f","식품","모바일","2017","9"
"138","2017-09-01",43.8778,"m","식품","인터넷","2017","9"
"139","2017-09-01",12.92175,"f","출산_육아","모바일","2017","9"
"140","2017-09-01",20.5495,"f","출산_육아","인터넷","2017","9"
"141","2017-09-01",44.91575,"f","패션잡화","모바일","2017","9"
"142","2017-09-01",65.25739,"m","패션잡화","인터넷","2017","9"
"143","2017-09-01",44.84926,"f","화장품_미용","모바일","2017","9"
"144","2017-09-01",62.88924,"f","화장품_미용","인터넷","2017","9"
"145","2017-10-01",49.22024,"f","가구_인테리어","모바일","2017","10"
"146","2017-10-01",77.87723,"m","가구_인테리어","인터넷","2017","10"
"147","2017-10-01",41.37548,"f","디지털_가전","모바일","2017","10"
"148","2017-10-01",106.24451,"m","디지털_가전","인터넷","2017","10"
"149","2017-10-01",38.14955,"m","생활_건강","모바일","2017","10"
"150","2017-10-01",42.76783,"m","생활_건강","인터넷","2017","10"
"151","2017-10-01",48.63392,"m","스포츠_레져","모바일","2017","10"
"152","2017-10-01",65.68472,"m","스포츠_레져","인터넷","2017","10"
"153","2017-10-01",24.26308,"f","식품","모바일","2017","10"
"154","2017-10-01",41.82878,"m","식품","인터넷","2017","10"
"155","2017-10-01",13.87194,"f","출산_육아","모바일","2017","10"
"156","2017-10-01",30.88532,"f","출산_육아","인터넷","2017","10"
"157","2017-10-01",50.21639,"f","패션잡화","모바일","2017","10"
"158","2017-10-01",77.66174,"m","패션잡화","인터넷","2017","10"
"159","2017-10-01",52.56306,"f","화장품_미용","모바일","2017","10"
"160","2017-10-01",88.19266,"f","화장품_미용","인터넷","2017","10"
"161","2017-11-01",42.78351,"f","가구_인테리어","모바일","2017","11"
"162","2017-11-01",64.28212,"m","가구_인테리어","인터넷","2017","11"
"163","2017-11-01",43.38578,"f","디지털_가전","모바일","2017","11"
"164","2017-11-01",131.76974,"m","디지털_가전","인터넷","2017","11"
"165","2017-11-01",37.69615,"m","생활_건강","모바일","2017","11"
"166","2017-11-01",44.08039,"m","생활_건강","인터넷","2017","11"
"167","2017-11-01",36.58357,"m","스포츠_레져","모바일","2017","11"
"168","2017-11-01",47.84331,"m","스포츠_레져","인터넷","2017","11"
"169","2017-11-01",24.10033,"f","식품","모바일","2017","11"
"170","2017-11-01",37.62443,"m","식품","인터넷","2017","11"
"171","2017-11-01",7.15123,"f","출산_육아","모바일","2017","11"
"172","2017-11-01",28.26796,"f","출산_육아","인터넷","2017","11"
"173","2017-11-01",46.67044,"f","패션잡화","모바일","2017","11"
"174","2017-11-01",71.03853,"m","패션잡화","인터넷","2017","11"
"175","2017-11-01",49.7394,"f","화장품_미용","모바일","2017","11"
"176","2017-11-01",82.52691,"f","화장품_미용","인터넷","2017","11"
"177","2017-12-01",51.28601,"f","가구_인테리어","모바일","2017","12"
"178","2017-12-01",62.43362,"m","가구_인테리어","인터넷","2017","12"
"179","2017-12-01",47.09022,"f","디지털_가전","모바일","2017","12"
"180","2017-12-01",131.73992,"m","디지털_가전","인터넷","2017","12"
"181","2017-12-01",40.14054,"m","생활_건강","모바일","2017","12"
"182","2017-12-01",40.91579,"m","생활_건강","인터넷","2017","12"
"183","2017-12-01",43.04266,"m","스포츠_레져","모바일","2017","12"
"184","2017-12-01",46.90577,"m","스포츠_레져","인터넷","2017","12"
"185","2017-12-01",24.32051,"f","식품","모바일","2017","12"
"186","2017-12-01",35.52371,"m","식품","인터넷","2017","12"
"187","2017-12-01",34.33342,"f","출산_육아","모바일","2017","12"
"188","2017-12-01",47.49969,"f","출산_육아","인터넷","2017","12"
"189","2017-12-01",63.35682,"f","패션잡화","모바일","2017","12"
"190","2017-12-01",73.68848,"m","패션잡화","인터넷","2017","12"
"191","2017-12-01",57.2991,"f","화장품_미용","모바일","2017","12"
"192","2017-12-01",75.46515,"f","화장품_미용","인터넷","2017","12"
"193","2018-01-01",58.45834,"f","가구_인테리어","모바일","2018","1"
"194","2018-01-01",64.55799,"m","가구_인테리어","인터넷","2018","1"
"195","2018-01-01",55.96724,"f","디지털_가전","모바일","2018","1"
"196","2018-01-01",67.66657,"m","디지털_가전","인터넷","2018","1"
"197","2018-01-01",53.70481,"m","생활_건강","모바일","2018","1"
"198","2018-01-01",64.38558,"m","생활_건강","인터넷","2018","1"
"199","2018-01-01",39.3253,"m","스포츠_레져","모바일","2018","1"
"200","2018-01-01",44.63748,"m","스포츠_레져","인터넷","2018","1"
"201","2018-01-01",42.38814,"f","식품","모바일","2018","1"
"202","2018-01-01",50.7708,"m","식품","인터넷","2018","1"
"203","2018-01-01",50.58235,"f","출산_육아","모바일","2018","1"
"204","2018-01-01",58.09959,"f","출산_육아","인터넷","2018","1"
"205","2018-01-01",69.2648,"f","패션잡화","모바일","2018","1"
"206","2018-01-01",75.85364,"m","패션잡화","인터넷","2018","1"
"207","2018-01-01",72.30074,"f","화장품_미용","모바일","2018","1"
"208","2018-01-01",90.08961,"f","화장품_미용","인터넷","2018","1"
"209","2018-02-01",51.796,"f","가구_인테리어","모바일","2018","2"
"210","2018-02-01",55.34662,"m","가구_인테리어","인터넷","2018","2"
"211","2018-02-01",50.78136,"f","디지털_가전","모바일","2018","2"
"212","2018-02-01",55.92168,"m","디지털_가전","인터넷","2018","2"
"213","2018-02-01",49.55014,"m","생활_건강","모바일","2018","2"
"214","2018-02-01",55.0616,"m","생활_건강","인터넷","2018","2"
"215","2018-02-01",33.30795,"m","스포츠_레져","모바일","2018","2"
"216","2018-02-01",35.1531,"m","스포츠_레져","인터넷","2018","2"
"217","2018-02-01",39.07484,"f","식품","모바일","2018","2"
"218","2018-02-01",44.3273,"m","식품","인터넷","2018","2"
"219","2018-02-01",46.11276,"f","출산_육아","모바일","2018","2"
"220","2018-02-01",49.99966,"f","출산_육아","인터넷","2018","2"
"221","2018-02-01",67.0783,"f","패션잡화","모바일","2018","2"
"222","2018-02-01",68.36559,"m","패션잡화","인터넷","2018","2"
"223","2018-02-01",67.25201,"f","화장품_미용","모바일","2018","2"
"224","2018-02-01",76.66463,"f","화장품_미용","인터넷","2018","2"
"225","2018-03-01",58.90514,"f","가구_인테리어","모바일","2018","3"
"226","2018-03-01",69.04825,"m","가구_인테리어","인터넷","2018","3"
"227","2018-03-01",55.42852,"f","디지털_가전","모바일","2018","3"
"228","2018-03-01",64.7791,"m","디지털_가전","인터넷","2018","3"
"229","2018-03-01",58.67376,"m","생활_건강","모바일","2018","3"
"230","2018-03-01",68.66887,"m","생활_건강","인터넷","2018","3"
"231","2018-03-01",43.48262,"m","스포츠_레져","모바일","2018","3"
"232","2018-03-01",49.64982,"m","스포츠_레져","인터넷","2018","3"
"233","2018-03-01",37.56205,"f","식품","모바일","2018","3"
"234","2018-03-01",47.28497,"m","식품","인터넷","2018","3"
"235","2018-03-01",55.15208,"f","출산_육아","모바일","2018","3"
"236","2018-03-01",63.2471,"f","출산_육아","인터넷","2018","3"
"237","2018-03-01",74.78053,"f","패션잡화","모바일","2018","3"
"238","2018-03-01",80.52754,"m","패션잡화","인터넷","2018","3"
"239","2018-03-01",66.50368,"f","화장품_미용","모바일","2018","3"
"240","2018-03-01",81.68247,"f","화장품_미용","인터넷","2018","3"
"241","2018-04-01",50.21364,"f","가구_인테리어","모바일","2018","4"
"242","2018-04-01",63.3463,"m","가구_인테리어","인터넷","2018","4"
"243","2018-04-01",50.14415,"f","디지털_가전","모바일","2018","4"
"244","2018-04-01",59.56609,"m","디지털_가전","인터넷","2018","4"
"245","2018-04-01",56.11054,"m","생활_건강","모바일","2018","4"
"246","2018-04-01",67.44102,"m","생활_건강","인터넷","2018","4"
"247","2018-04-01",44.46182,"m","스포츠_레져","모바일","2018","4"
"248","2018-04-01",52.80396,"m","스포츠_레져","인터넷","2018","4"
"249","2018-04-01",37.82265,"f","식품","모바일","2018","4"
"250","2018-04-01",46.35842,"m","식품","인터넷","2018","4"
"251","2018-04-01",51.81232,"f","출산_육아","모바일","2018","4"
"252","2018-04-01",63.73624,"f","출산_육아","인터넷","2018","4"
"253","2018-04-01",66.85543,"f","패션잡화","모바일","2018","4"
"254","2018-04-01",75.91957,"m","패션잡화","인터넷","2018","4"
"255","2018-04-01",64.77731,"f","화장품_미용","모바일","2018","4"
"256","2018-04-01",81.61854,"f","화장품_미용","인터넷","2018","4"
"257","2018-05-01",49.62684,"f","가구_인테리어","모바일","2018","5"
"258","2018-05-01",61.792,"m","가구_인테리어","인터넷","2018","5"
"259","2018-05-01",52.65908,"f","디지털_가전","모바일","2018","5"
"260","2018-05-01",60.21408,"m","디지털_가전","인터넷","2018","5"
"261","2018-05-01",56.93068,"m","생활_건강","모바일","2018","5"
"262","2018-05-01",66.41869,"m","생활_건강","인터넷","2018","5"
"263","2018-05-01",50.99068,"m","스포츠_레져","모바일","2018","5"
